EngineSize,Cylinders,HorsePower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
3.5,6,265,17,23,4451,106,189
2,4,200,24,31,2778,101,172
2.4,4,200,22,29,3230,105,183
3.2,6,270,20,28,3575,108,186
3.5,6,225,18,24,3880,115,197
3.5,6,225,18,24,3893,115,197
3.2,6,290,17,24,3153,100,174
1.8,4,170,22,31,3252,104,179
1.8,4,170,23,30,3638,105,180
3,6,220,20,28,3462,104,179
3,6,220,17,26,3583,104,179
3,6,220,18,25,3627,104,179
3,6,220,20,27,3561,109,192
3,6,220,18,25,3880,109,192
3,6,220,20,27,3814,105,180
3,6,220,18,25,4013,105,180
2.7,6,250,18,25,3836,109,192
4.2,8,300,17,24,4024,109,193
4.2,8,330,17,24,4399,121,204
4.2,8,340,14,20,3825,104,179
4.2,8,450,15,22,4024,109,191
1.8,4,180,20,28,3131,95,159
1.8,4,225,20,28,2921,96,159
3.2,6,250,21,29,3351,96,159
3,6,220,18,25,4035,109,192
4.2,8,340,15,21,3936,104,179
3,6,225,16,23,4023,110,180
4.4,8,325,16,22,4824,111,184
2.5,6,184,20,29,3219,107,176
2.5,6,184,20,29,3197,107,177
2.5,6,184,19,27,3560,107,177
2.5,6,184,19,27,3461,107,176
3,6,225,20,30,3285,107,176
3,6,225,20,30,3285,107,176
3,6,225,20,29,3483,107,176
2.5,6,184,19,28,3428,114,191
3,6,225,19,28,3616,107,177
3,6,225,20,30,3472,114,191
4.4,8,325,18,26,3814,114,191
4.4,8,325,18,26,4376,118,198
4.4,8,325,18,26,4464,123,204
3.2,6,333,16,24,3415,108,177
3.2,6,333,16,23,3781,108,177
2.5,6,184,20,28,2932,98,161
3,6,225,21,29,2998,98,161
2.5,6,184,19,26,3594,107,176
4.2,6,275,15,21,4600,113,193
3.4,6,185,19,26,4024,112,187
3.1,6,175,20,30,3353,109,195
3.8,6,205,20,29,3567,112,200
3.8,6,200,20,30,3461,109,196
3.8,6,240,18,28,3536,109,196
3.8,6,205,20,29,3591,112,200
3.8,6,205,20,29,3778,114,207
3.8,6,240,18,28,3909,114,207
5.3,8,295,14,18,5367,116,199
4.6,8,320,16,21,4302,116,195
3.6,6,255,18,25,3694,113,190
4.6,8,275,18,26,3984,115,207
4.6,8,300,18,26,4044,115,207
4.6,8,275,18,26,3992,112,201
4.6,8,320,17,25,3647,106,178
6,8,345,13,17,5879,130,221
5.3,8,295,14,18,4947,130,219
5.3,8,295,14,18,5050,116,197
4.2,6,275,16,21,4425,113,192
2.5,6,165,19,22,2866,98,163
1.6,4,103,28,34,2370,98,167
1.6,4,103,28,34,2348,98,153
2.2,4,140,26,37,2617,104,183
2.2,4,140,26,37,2676,104,183
2.2,4,140,26,37,2617,104,183
3.4,6,180,21,32,3465,111,200
2.2,4,145,24,34,3174,106,188
3.5,6,200,22,30,3297,106,188
3.4,6,180,21,32,3340,111,198
3.8,6,200,20,30,3476,111,200
3.8,6,240,18,28,3606,111,200
3.5,6,200,23,32,3315,106,188
3.8,6,200,18,28,3434,111,198
4.3,6,190,14,17,4605,111,190
3.4,6,185,19,26,3699,112,187
5.7,8,350,18,25,3246,105,180
5.7,8,350,18,25,3248,105,180
5.3,8,295,14,18,5678,130,222
2.8,4,175,18,23,3623,111,192
4.3,6,200,15,21,4142,119,206
6,8,300,13,17,4804,144,238
5.3,8,300,16,19,4760,116,191
3.5,6,200,22,30,3458,112,188
2.4,4,150,22,29,3101,103,169
2.4,4,150,22,29,3105,103,169
2.4,4,150,22,30,3173,108,191
2.7,6,200,21,28,3222,108,191
3.5,6,250,18,27,3581,113,198
2.7,6,200,21,29,3479,113,208
3.5,6,232,19,27,3548,113,208
2.4,4,220,21,27,3217,103,169
2.4,4,150,22,30,3357,106,194
3.5,6,255,18,27,3650,113,198
2.7,6,200,21,28,3448,106,194
3.3,6,180,19,26,4068,119,201
3.8,6,215,18,25,4331,119,201
3.2,6,215,17,25,3060,95,160
3.5,6,250,17,23,4675,116,199
4.7,8,230,15,21,4987,119,201
2,4,132,29,36,2581,105,174
2,4,132,29,36,2626,105,174
2.7,6,200,21,29,3469,113,204
2.4,4,150,21,28,3182,108,191
2.4,4,150,21,28,3175,108,191
3.5,6,232,18,27,3487,113,204
2.4,4,150,20,26,3862,113,189
3.8,6,215,18,25,4440,119,201
8.3,10,500,12,20,3410,99,176
3.7,6,210,16,22,3714,112,193
3.7,6,210,16,22,3829,131,219
3.7,6,215,16,21,4542,121,208
6.8,10,310,10,13,7190,137,227
4.6,8,232,15,19,5000,119,206
4,6,210,15,20,4463,114,190
3,6,201,18,23,3346,103,173
2,4,130,26,33,2612,103,168
2,4,110,27,36,2606,103,168
2,4,130,26,33,2606,103,168
2,4,130,26,33,2691,103,168
2,4,170,21,28,2750,103,168
3,6,155,20,27,3306,109,198
3,6,201,19,26,3313,109,198
4.6,8,224,17,25,4057,115,212
4.6,8,224,17,25,4057,115,212
4.6,8,239,17,25,4057,115,212
3.9,6,193,17,23,4275,121,201
3.8,6,193,20,29,3290,101,183
4.6,8,260,17,25,3347,101,183
3.9,8,280,17,24,3780,107,186
4.6,8,231,15,19,4788,126,211
5.4,8,300,14,18,5464,133,218
2.3,4,143,24,29,3028,111,188
2,4,130,26,33,2702,103,178
3,6,155,19,26,3497,109,198
4.2,6,275,15,19,4945,129,208
4.8,8,285,16,19,5042,116,199
6,8,325,13,17,6133,130,219
4.3,6,190,16,20,4309,111,190
2.8,4,175,18,25,3351,111,192
4.8,8,285,17,20,4548,144,230
6,8,300,13,18,5440,133,222
4.3,6,190,15,19,4083,123,208
1.4,4,93,46,51,2732,103,175
2,3,73,60,66,1850,95,155
3.5,6,240,17,22,4387,106,188
2.4,4,160,21,25,3258,103,179
2.4,4,160,21,24,3468,101,167
1.7,4,115,32,38,2432,103,175
1.7,4,117,36,44,2500,103,175
1.7,4,115,32,38,2513,103,175
2.4,4,160,26,34,2994,105,188
2.4,4,160,26,34,3047,105,188
1.7,4,127,32,37,2601,103,175
2,4,160,26,30,2782,101,166
3,6,240,21,30,3349,108,190
3,6,240,21,30,3294,105,188
3.5,6,240,18,25,4310,118,201
3.5,6,240,18,25,4365,118,201
2.2,4,240,20,25,2835,95,162
6,8,316,10,12,6400,123,190
2.7,6,173,20,26,3549,103,177
1.6,4,103,29,33,2255,96,167
1.6,4,103,29,33,2290,96,167
1.6,4,103,29,33,2339,96,167
2,4,138,26,34,2635,103,178
2,4,138,26,34,2635,103,178
2,4,138,26,34,2698,103,178
2.7,6,170,19,27,3217,106,187
2.7,6,170,19,27,3217,106,187
3.5,6,194,17,26,3651,108,192
3.5,6,194,17,26,3651,108,192
2.7,6,172,19,26,3023,100,173
3.5,6,260,18,26,3336,112,187
3.5,6,280,18,26,3416,112,182
3.5,6,260,18,26,3677,112,187
3.5,6,255,19,26,3306,108,194
4.5,8,340,17,23,3851,110,197
4.5,8,340,17,23,3977,113,200
3.5,6,280,16,22,4056,112,189
4.5,8,315,15,19,4309,112,189
4.2,6,275,15,20,4967,129,208
3.2,6,193,17,21,3836,106,178
2.5,6,192,18,26,3428,107,184
3,6,227,18,25,3516,107,184
3,6,235,18,26,3777,115,192
4.2,8,294,18,28,3874,115,192
4.2,8,390,17,24,4046,115,192
4.2,8,294,18,28,3803,119,200
4.2,8,294,18,28,3803,119,200
4.2,8,390,17,24,3948,119,200
4.2,8,294,18,26,3779,102,187
4.2,8,294,18,26,3980,102,187
4.2,8,390,16,23,3865,102,187
4.2,8,390,16,23,4042,102,187
4,6,195,16,21,3790,106,181
2.4,4,150,20,24,3826,104,174
4,6,190,16,19,3575,93,150
3.5,6,192,16,19,4112,107,180
2.4,4,138,23,30,3281,106,186
1.6,4,104,26,33,2403,95,167
1.6,4,104,25,32,2458,95,167
1.8,4,124,24,32,2661,101,178
1.8,4,124,24,32,2686,101,178
1.8,4,124,24,32,2697,101,178
2.7,6,170,20,27,3279,106,186
3.5,6,195,17,25,4021,110,196
3.5,6,195,16,22,4802,115,194
1.6,4,104,26,33,2447,95,167
4.4,8,282,12,16,5379,113,195
4.6,8,217,12,16,4576,100,185
2.5,6,174,18,21,3577,101,175
4.7,8,235,15,19,4740,110,188
4.7,8,235,13,17,5590,112,193
3.3,6,230,18,24,4065,107,186
3.3,6,225,20,29,3460,107,191
3,6,215,18,25,3255,105,177
3,6,215,18,24,3285,105,177
3,6,220,18,25,3649,110,189
4.3,8,300,18,23,3715,110,189
4.3,8,290,18,25,3990,115,197
4.3,8,300,18,23,3840,103,178
3,6,215,18,24,3410,105,177
5.4,8,300,13,18,5969,119,206
4.6,8,302,13,18,4834,114,193
3,6,232,20,26,3681,115,194
3,6,232,20,26,3681,115,194
3.9,8,280,17,24,3768,115,194
3.9,8,280,17,24,3768,115,194
4.6,8,239,17,25,4369,118,215
4.6,8,239,17,25,4369,118,215
4.6,8,239,17,25,4474,124,221
1.6,4,115,28,37,2524,97,143
1.6,4,163,25,34,2678,97,144
2,4,130,22,25,3091,103,173
2,4,148,26,34,2696,104,178
2.3,4,160,25,31,2762,104,179
2.3,4,160,24,32,3042,105,187
3,6,200,18,25,3812,112,188
1.8,4,142,23,28,2387,89,156
1.8,4,142,23,28,2387,89,156
1.3,,197,18,25,3053,106,174
1.3,,238,18,24,3029,106,174
2.3,4,143,24,29,2960,112,188
4,6,207,15,19,3571,126,203
5,8,292,13,14,5423,112,186
5,8,288,14,17,4874,111,183
1.8,4,189,22,30,3250,107,178
3.2,6,215,19,26,3430,107,178
2.6,6,168,20,25,3360,107,178
2.6,6,168,19,25,3360,107,178
3.2,6,215,19,26,3430,107,178
3.2,6,215,20,26,3450,107,178
3.2,6,215,19,27,3450,107,178
3.2,6,349,16,21,3540,107,178
5,8,302,16,24,4085,114,196
5.5,12,493,13,19,4473,114,196
3.2,6,215,20,26,3770,107,183
5,8,302,17,22,3585,107,183
3.2,6,221,19,27,3635,112,190
5,8,302,16,20,3815,112,190
4.3,8,275,18,26,4160,122,203
5,8,302,16,24,4390,122,203
5,8,302,16,23,4065,101,179
5.5,8,493,14,21,4235,101,179
5.5,12,493,13,19,4429,101,179
2.3,4,192,21,29,3055,95,158
3.2,6,349,17,22,3220,95,158
2.6,6,168,19,25,3470,107,179
3.2,6,221,19,27,3966,112,190
5,8,302,16,24,4230,112,190
4,6,210,16,21,4374,114,190
3,6,155,20,27,3308,109,200
4.6,8,224,17,25,4052,115,212
4.6,8,224,17,25,4052,115,212
3,6,201,19,26,3315,109,200
4.6,8,224,17,25,4052,115,212
4.6,8,302,17,23,4195,115,212
4.2,6,201,16,23,4340,121,202
3,6,155,19,26,3488,109,198
3.8,6,215,17,21,4134,109,190
3.8,6,215,15,19,4718,110,190
2.4,4,160,21,27,3240,103,179
2,4,120,25,31,2656,102,181
2,4,120,25,31,2795,102,181
2.4,4,160,23,30,3351,108,191
2,4,120,25,31,2744,102,181
3.5,6,205,18,25,3549,107,194
3.8,6,230,18,26,3649,108,191
3,6,210,21,28,3241,101,177
3,6,210,21,28,3296,101,177
2,4,271,18,26,3263,103,179
2.4,4,160,25,31,3020,102,181
5.6,8,305,13,19,5013,123,207
3.5,6,240,16,21,3871,106,183
3.3,6,180,17,20,3760,104,178
1.8,4,126,28,35,2513,100,178
1.8,4,126,28,35,2581,100,178
2.5,4,175,21,26,3039,110,192
2.5,4,165,23,28,2761,100,178
3.5,6,245,21,26,3197,110,192
3.5,6,265,20,28,3473,111,194
3.5,6,265,20,28,3476,111,194
3.5,6,240,19,26,4012,124,204
3.5,6,240,18,25,4175,124,204
3.5,6,287,20,26,3188,104,169
3.5,6,287,20,26,3428,104,169
3.3,6,180,17,20,3932,116,191
5.6,8,305,14,18,5287,140,224
3.5,6,245,20,25,3801,111,188
2.2,4,140,24,32,2946,107,187
3.4,6,170,20,29,3085,107,187
3.4,6,185,19,26,3948,120,201
3.4,6,185,19,26,3779,108,182
2.2,4,140,24,33,2771,104,182
3.4,6,175,20,29,3118,107,186
3.8,6,200,20,30,3477,111,198
2.2,4,140,24,33,2771,104,182
3.8,6,200,20,30,3484,111,198
4.6,8,275,17,20,3790,112,203
3.4,6,185,19,26,3803,112,187
3.4,6,185,18,24,4431,121,201
5.7,8,340,16,20,3725,110,190
1.8,4,130,29,36,2701,102,172
4.5,8,340,14,18,4950,112,188
3.6,6,315,18,26,3135,93,175
3.6,6,315,17,24,3240,93,175
3.6,6,315,18,26,3119,93,175
3.6,6,477,17,24,3131,93,175
2.7,6,228,20,29,2811,95,170
3.2,6,258,18,26,2911,95,170
2,4,210,20,28,3175,105,183
2,4,210,20,28,3175,105,183
2.3,4,220,21,29,3470,106,190
2.3,4,250,21,29,3470,106,190
2,4,210,21,29,3480,105,182
2,4,210,21,30,3700,105,182
2.3,4,250,19,29,3620,106,190
2.2,4,143,21,26,3381,107,181
2.2,4,140,26,35,2692,103,185
2.2,4,140,26,35,2692,103,185
2.2,4,140,26,35,2692,103,185
2.2,4,140,26,35,2751,103,185
2.2,4,140,26,35,2751,103,185
3,6,182,20,28,3197,107,190
2.2,4,140,24,34,3109,107,190
1.5,4,108,32,38,2340,93,154
1.5,4,108,31,35,2425,98,155
2.5,4,165,22,28,2965,99,174
2.5,4,165,21,28,3285,104,184
2.5,4,165,21,28,3395,104,184
2.5,4,165,20,27,3495,104,184
3,6,212,19,26,3610,104,184
3,6,212,19,26,3630,104,184
2,4,227,20,27,3085,99,174
2.5,4,300,18,24,3263,100,174
2.5,4,165,21,28,3485,104,193
2.5,4,165,21,28,3090,99,175
2.5,4,165,21,28,3430,104,187
2.7,6,185,18,22,3682,110,187
2.5,6,165,19,22,3020,98,163
2.3,4,155,25,31,2676,98,171
2.3,4,155,25,31,2676,98,171
2,4,119,24,31,2701,102,177
2,4,119,22,30,2756,102,177
2.5,6,155,20,27,3380,106,188
2.3,4,155,24,29,2932,98,167
1.5,4,110,59,51,2890,106,175
4.7,8,240,14,17,5270,118,204
4,6,245,18,21,4035,110,189
3.3,6,230,18,24,3935,107,185
4.7,8,325,13,17,5390,112,193
2.4,4,161,22,27,3119,98,167
1.8,4,130,32,40,2502,102,178
1.8,4,130,32,40,2524,102,178
1.8,4,130,32,40,2524,102,178
1.5,4,108,35,43,2035,93,163
1.5,4,108,33,39,2085,93,163
1.5,4,108,35,43,2055,93,163
2.4,4,157,24,33,3086,107,189
3,6,210,21,29,3296,107,189
2.4,4,157,24,33,3175,107,193
3.3,6,225,20,29,3417,107,193
3,6,210,21,29,3417,107,192
3,6,210,21,29,3362,107,189
3.3,6,225,20,29,3439,107,193
3,6,210,21,29,3439,107,192
3.3,6,230,19,27,4120,119,200
3.3,6,230,19,27,4165,119,200
1.8,4,180,24,33,2500,102,171
1.8,4,138,26,32,2195,97,153
2.4,4,142,22,27,2750,103,191
3.4,6,190,16,18,3925,128,218
3.4,6,190,14,17,4435,128,218
1.8,4,130,29,36,2679,102,171
3.2,6,220,15,20,5086,112,187
2,4,115,24,31,2897,99,165
1.8,4,180,24,31,2934,99,168
1.9,4,100,38,46,3003,99,172
1.8,4,150,24,31,2820,99,161
2.8,6,200,21,30,3179,99,172
2,4,115,24,30,3082,99,161
1.8,4,170,22,31,3241,106,185
2.8,6,190,19,26,3721,106,185
4,8,270,18,25,3953,106,185
4.2,8,335,16,22,5194,118,204
6,12,420,12,19,5399,118,204
2,4,115,24,30,3034,99,174
1.8,4,170,22,31,3338,106,184
4,8,270,18,25,4067,106,184
2.9,6,268,15,20,4638,113,189
1.9,4,170,22,29,2767,101,178
2.5,5,208,20,27,3903,107,180
2.3,5,247,20,28,3766,107,180
2.5,5,300,18,25,3571,107,181
2.9,6,208,20,28,3576,110,190
2.5,5,194,20,27,3691,110,190
2.4,5,197,21,28,3450,105,186
2.3,5,242,20,26,3450,105,186
2.9,6,268,19,26,3653,110,190
1.9,4,170,22,29,2822,101,180
2.5,5,208,20,27,3823,109,186
